NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCT,NUMBER_OF_SHOPS,STORE_LOCATION,PRODUCT_DETAIL,PRODUCT_CATEGORY,PRODUCT_TYPE,PURCHASE_DATE,DAY_NAME,MONTH_NAME,DAY_OF_MONTH,MONTH_ID,YEAR,HOUR_OF_DAY,AVG_REVENUE,TOTAL_REVENUE,NUMBER_OF_UNITS_SOLD,TRANSACTIONS,TIME_BUCKETS,DAY_CLASSIFICATION
1,1,1,Lower Manhattan,Peppermint Lg,Tea,Brewed herbal tea,2023-01-01,Sun,Jan,1,202301,2023,9,6,6.00,2,1,Morning,Weekend
1,1,1,Hell's Kitchen,Sustainably Grown Organic Lg,Drinking Chocolate,Hot chocolate,2023-01-01,Sun,Jan,1,202301,2023,8,5,4.75,1,1,Morning,Weekend
2,1,1,Astoria,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-01-01,Sun,Jan,1,202301,2023,12,8,8.00,4,2,Afternoon,Weekend
1,1,1,Astoria,Spicy Eye Opener Chai Rg,Tea,Brewed Chai tea,2023-01-01,Sun,Jan,1,202301,2023,12,3,2.55,1,1,Afternoon,Weekend
1,1,1,Hell's Kitchen,Ginger Scone,Bakery,Scone,2023-01-02,Mon,Jan,2,202301,2023,9,3,3.25,1,1,Morning,Weekday
1,1,1,Hell's Kitchen,Traditional Blend Chai Lg,Tea,Brewed Chai tea,2023-01-02,Mon,Jan,2,202301,2023,16,6,6.00,2,1,Evening,Weekday
1,1,1,Astoria,Our Old Time Diner Blend Rg,Coffee,Drip coffee,2023-01-02,Mon,Jan,2,202301,2023,18,5,5.00,2,1,Evening,Weekday
1,1,1,Lower Manhattan,Morning Sunrise Chai Rg,Tea,Brewed Chai tea,2023-01-04,Wed,Jan,4,202301,2023,8,5,5.00,2,1,Morning,Weekday
1,1,1,Hell's Kitchen,Ginger Biscotti,Bakery,Biscotti,2023-01-10,Tue,Jan,10,202301,2023,6,4,3.50,1,1,Morning,Weekday
1,1,1,Astoria,Columbian Medium Roast Lg,Coffee,Gourmet brewed coffee,2023-01-01,Sun,Jan,1,202301,2023,18,6,6.00,2,1,Evening,Weekend
1,1,1,Astoria,Ethiopia Rg,Coffee,Gourmet brewed coffee,2023-01-01,Sun,Jan,1,202301,2023,18,3,3.00,1,1,Evening,Weekend
1,1,1,Lower Manhattan,English Breakfast Rg,Tea,Brewed Black tea,2023-01-02,Mon,Jan,2,202301,2023,9,3,2.50,1,1,Morning,Weekday
1,1,1,Lower Manhattan,Lemon Grass Rg,Tea,Brewed herbal tea,2023-01-02,Mon,Jan,2,202301,2023,11,5,5.00,2,1,Morning,Weekday
5,1,1,Astoria,Our Old Time Diner Blend Lg,Coffee,Drip coffee,2023-01-02,Mon,Jan,2,202301,2023,12,21,21.00,7,5,Afternoon,Weekday
1,1,1,Hell's Kitchen,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-01-02,Mon,Jan,2,202301,2023,12,2,2.00,1,1,Afternoon,Weekday
2,1,1,Astoria,Cappuccino,Coffee,Barista Espresso,2023-01-01,Sun,Jan,1,202301,2023,19,11,11.25,3,2,Evening,Weekend
1,1,1,Hell's Kitchen,Columbian Medium Roast Sm,Coffee,Gourmet brewed coffee,2023-01-02,Mon,Jan,2,202301,2023,17,4,4.00,2,1,Evening,Weekday
1,1,1,Astoria,Croissant,Bakery,Pastry,2023-01-02,Mon,Jan,2,202301,2023,17,4,3.50,1,1,Evening,Weekday
3,1,1,Astoria,Our Old Time Diner Blend Lg,Coffee,Drip coffee,2023-01-03,Tue,Jan,3,202301,2023,11,15,15.00,5,3,Morning,Weekday
1,1,1,Hell's Kitchen,Hazelnut Biscotti,Bakery,Biscotti,2023-01-03,Tue,Jan,3,202301,2023,11,3,3.25,1,1,Morning,Weekday
1,1,1,Astoria,Serenity Green Tea Lg,Tea,Brewed Green tea,2023-01-03,Tue,Jan,3,202301,2023,15,3,3.00,1,1,Afternoon,Weekday
1,1,1,Lower Manhattan,Jumbo Savory Scone,Bakery,Scone,2023-01-03,Tue,Jan,3,202301,2023,17,4,3.75,1,1,Evening,Weekday
1,1,1,Hell's Kitchen,Cappuccino,Coffee,Barista Espresso,2023-01-03,Tue,Jan,3,202301,2023,17,8,7.50,2,1,Evening,Weekday
1,1,1,Astoria,English Breakfast Rg,Tea,Brewed Black tea,2023-01-03,Tue,Jan,3,202301,2023,19,3,2.50,1,1,Evening,Weekday
